     Column_Name  Num_Unique
53             j           1
63           p5a           2
9             p9           2
36           p49           3
25           p23           4
62             t           4
58             p           4
39           p51           4
7             p7           5
13          p13a           5
26           p24           6
37          p50a           6
38          p50b           6
23           p21           7
44           p58           7
31           p39           7
28           p28           7
17           p15           7
4   weekday(p2a)           7
21           p19           7
22           p20           7
10           p10           8
20           p18           8
1            p36           9
54             k           9
24           p22          10
18           p16          10
6             p6          10
8             p8          10
11           p11          10
14          p13b          10
27           p27          11
43           p57          11
42          p55a          11
59             q          12
19           p17          12
64        region          14
29           p34          15
32           p44          19
30           p35          19
35          p48a          20
15          p13c          25
12           p12          66
34           p47          80
40           p52          87
33          p45a          95
41           p53         287
57             o        1125
5            p2b        1465
65          date        1739
3            p2a        1739
16           p14        2298
60             r        6084
2            p37        6314
55             l        6825
51             h       10456
52             i       27287
61             s       33018
56             n      223762
46             b      299566
45             a      315117
50             g      409675
48             e      414488
49             f      439823
47             d      444934
0             p1      487157
